,002_arousal,002_valence,018_arousal,018_valence,014_arousal,014_valence,010_arousal,010_valence,008_arousal,008_valence
145,0.17822265625,0.53466796875,0.0,0.0,0.03662109375,-0.4736328125,-0.0048828125,-0.00732421875,-0.009765625,0.1416015625
146,0.185546875,0.53955078125,0.0,0.0,0.0390625,-0.47607421875,-0.0048828125,-0.00732421875,-0.00732421875,0.14404296875
147,0.19775390625,0.54931640625,0.0,0.0,0.0439453125,-0.478515625,-0.0048828125,-0.00732421875,-0.0048828125,0.146484375
148,0.2099609375,0.556640625,0.0,0.0,0.04638671875,-0.48095703125,-0.0048828125,-0.00732421875,-0.0048828125,0.1513671875
149,0.224609375,0.56640625,0.0,0.0,0.05126953125,-0.48095703125,-0.0048828125,-0.00732421875,-0.0048828125,0.15625
150,0.23193359375,0.5712890625,0.0,0.0,0.0537109375,-0.4833984375,-0.0048828125,-0.00732421875,-0.00244140625,0.1611328125
151,0.2392578125,0.576171875,0.0,0.0,0.05615234375,-0.4833984375,-0.0048828125,-0.00732421875,-0.00244140625,0.16357421875
152,0.244140625,0.5810546875,0.0,0.0,0.06103515625,-0.48583984375,-0.0048828125,-0.00732421875,-0.00244140625,0.166015625
153,0.25146484375,0.5859375,0.0,0.0,0.0634765625,-0.48828125,-0.0048828125,-0.00732421875,-0.00244140625,0.16845703125
154,0.25390625,0.58837890625,0.0,0.0,0.06591796875,-0.48828125,-0.0048828125,-0.00732421875,-0.00244140625,0.1708984375
155,0.2587890625,0.5908203125,0.0,0.0,0.068359375,-0.49072265625,-0.0048828125,-0.00732421875,-0.00244140625,0.1708984375
156,0.263671875,0.595703125,0.0,0.0,0.07568359375,-0.4931640625,-0.0048828125,-0.00732421875,-0.00244140625,0.1708984375
157,0.27099609375,0.6005859375,0.0,0.0,0.0830078125,-0.49560546875,-0.0048828125,-0.00732421875,-0.00244140625,0.17333984375
158,0.27587890625,0.60546875,0.0,0.0,0.087890625,-0.498046875,-0.0048828125,-0.00732421875,-0.00244140625,0.17822265625
159,0.28564453125,0.61279296875,0.0,0.0,0.09033203125,-0.498046875,-0.0048828125,-0.00732421875,-0.00244140625,0.18310546875
160,0.2880859375,0.615234375,0.0,0.0,0.0927734375,-0.50048828125,-0.0048828125,-0.00732421875,-0.00244140625,0.18798828125
161,0.29296875,0.6201171875,0.0,0.0,0.0927734375,-0.50048828125,-0.0048828125,-0.00732421875,-0.00244140625,0.1904296875
162,0.2978515625,0.625,0.0,0.0,0.0927734375,-0.50048828125,-0.0048828125,-0.00732421875,-0.00244140625,0.19775390625
163,0.30517578125,0.6298828125,0.0,0.0,0.0927734375,-0.50048828125,-0.0048828125,-0.00732421875,-0.0048828125,0.205078125
164,0.31005859375,0.634765625,0.0,0.0,0.09521484375,-0.50048828125,-0.0048828125,-0.00732421875,-0.0048828125,0.21484375
165,0.3125,0.6396484375,0.0,0.0,0.09521484375,-0.50048828125,-0.0048828125,-0.00732421875,-0.0048828125,0.22216796875
166,0.31494140625,0.6396484375,0.0,0.0,0.09521484375,-0.50048828125,-0.0048828125,-0.00732421875,-0.0048828125,0.2294921875
